id,title,Summary2,cause,newkeys,report_text,text_length,sif_indicators,indicator_count,sif_label,label_reason
202657474,tile setter sustains injuries in fall from ladder,at approximately 3:45 p.m. on april 2 2013 an employee was working as a tile setter for jeffrey razook tile. the firm installed ceramic tile. the employee had been working for the company for approximately six months. at the time of the incident he was performing his daily duties. he was working within proximity of an onsite coworker. the employee and the coworker were working from 16-foot (4.9-meter) extension ladders caulking the edges of five balconies. the employee reached over to his left lost his balance and fell to the ground. he fell approximately 11 feet (3.4 meters). he sustained bruises contusions and abrasions. he was transported to cottage hospital where he was treated for three hours. the division was notified of the accident by the santa barbara ca fire department at 4:57 p.m. that same day. it initiated an inspection on april 12 2013. interviews were conducted of the employee his supervisor and the coworker.,fall from/with ladder,"construction, ladder, extension ladder, lost balance, fall, contusion, abrasion","tile setter sustains injuries in fall from ladder at approximately 3:45 p.m. on april 2 2013 an employee was working as a tile setter for jeffrey razook tile. the firm installed ceramic tile. the employee had been working for the company for approximately six months. at the time of the incident he was performing his daily duties. he was working within proximity of an onsite coworker. the employee and the coworker were working from 16-foot (4.9-meter) extension ladders caulking the edges of five balconies. the employee reached over to his left lost his balance and fell to the ground. he fell approximately 11 feet (3.4 meters). he sustained bruises contusions and abrasions. he was transported to cottage hospital where he was treated for three hours. the division was notified of the accident by the santa barbara ca fire department at 4:57 p.m. that same day. it initiated an inspection on april 12 2013. interviews were conducted of the employee his supervisor and the coworker. fall from/with ladder construction, ladder, extension ladder, lost balance, fall, contusion, abrasion",1089,"fall_from_height, fire_explosion",2,1,fall_with_height_exposure
202651907,crane operator incurs knee injury when crane tips over,at 10:30 p.m. on january 9 2013 employee #1 a crane operator employed by concrete general inc. along with coworker #1 a rigger and coworker #2 a laborer were using a mobile crane as part of a bridge repair project. the crane was a boom truck that was being operated in a closed 11-foot lane the fast lane on one of two bridges the westbound bridge. employee #1 operated the crane without the outriggers extended and with only the jacks down. this was because the single lane closure did not allow sufficient space to extend the 17-foot outriggers. the crane was being used to remove the temporary work platform located on the inside of the bridge. the needle beams were being removed from under the work platform and were being loaded onto a flatbed truck that was parked behind the crane. each beam weighed 1 796 pounds and measured 21 feet in length. employee #1 lifted four beams with the crane. he was removing the fifth beam when that beam started swinging. employee #1 lost control of the load and the crane. the crane tipped over and the boom landed on the eastbound bridge. employee #1 sustained a knee injury. he was transported to a hospital where he received treatment for a knee bruise/abrasion. he then was released. maryland osha's investigation determined that the crane collapsed between the 50-foot span of the two bridges above the creek that ran 60 feet below. at the time of the collapse the crane's hydraulic boom was extended to 58 feet and the boom angle was 65 feet. the load chart requires that the boom angle be at a maximum of 45 feet with the boom extended to 58 feet. therefore the crane was being operated outside the safe parameters required by the manufacturer's load charts. employee #1 and his two coworkers were exposed to struck-by hazards while working with the mobile crane.,struck by falling object/projectile,"construction, crane operator, crane, boom truck, bridge, steel beam, lost control, knee, abrasion, load line","crane operator incurs knee injury when crane tips over at 10:30 p.m. on january 9 2013 employee #1 a crane operator employed by concrete general inc. along with coworker #1 a rigger and coworker #2 a laborer were using a mobile crane as part of a bridge repair project. the crane was a boom truck that was being operated in a closed 11-foot lane the fast lane on one of two bridges the westbound bridge. employee #1 operated the crane without the outriggers extended and with only the jacks down. this was because the single lane closure did not allow sufficient space to extend the 17-foot outriggers. the crane was being used to remove the temporary work platform located on the inside of the bridge. the needle beams were being removed from under the work platform and were being loaded onto a flatbed truck that was parked behind the crane. each beam weighed 1 796 pounds and measured 21 feet in length. employee #1 lifted four beams with the crane. he was removing the fifth beam when that beam started swinging. employee #1 lost control of the load and the crane. the crane tipped over and the boom landed on the eastbound bridge. employee #1 sustained a knee injury. he was transported to a hospital where he received treatment for a knee bruise/abrasion. he then was released. maryland osha's investigation determined that the crane collapsed between the 50-foot span of the two bridges above the creek that ran 60 feet below. at the time of the collapse the crane's hydraulic boom was extended to 58 feet and the boom angle was 65 feet. the load chart requires that the boom angle be at a maximum of 45 feet with the boom extended to 58 feet. therefore the crane was being operated outside the safe parameters required by the manufacturer's load charts. employee #1 and his two coworkers were exposed to struck-by hazards while working with the mobile crane. struck by falling object/projectile construction, crane operator, crane, boom truck, bridge, steel beam, lost control, knee, abrasion, load line",2012,"struck_by, lifting",2,0,no_strong_sif_evidence
200541936,employee is killed in fall from suspension scaffold,on october 1 2009 four employees were abrasive blast cleaning the mckees rocks bridge in mckees rocks pa. they were performing the work from suspension scaffolds within containment number 17 which enclosed pier number 16. at approximately 2:00 p.m. a wire rope failed on the suspension scaffold being used to blast clean the fascia beam on the upriver side of the bridge. employee #1 who was abrasive blast cleaning in close proximity to the failed wire rope fell approximately 124 feet and was killed. as part of the investigation the wire rope was analyzed by the materials failure division at the salt lake technical center. analysis revealed extreme ablative damage to the wires at the failure site significant enough to cause the wire rope to fail.,fall from/with scaffold,"construction, fall, scaffold, wire rope, equipment failure, abrasive blasting, broken cable","employee is killed in fall from suspension scaffold on october 1 2009 four employees were abrasive blast cleaning the mckees rocks bridge in mckees rocks pa. they were performing the work from suspension scaffolds within containment number 17 which enclosed pier number 16. at approximately 2:00 p.m. a wire rope failed on the suspension scaffold being used to blast clean the fascia beam on the upriver side of the bridge. employee #1 who was abrasive blast cleaning in close proximity to the failed wire rope fell approximately 124 feet and was killed. as part of the investigation the wire rope was analyzed by the materials failure division at the salt lake technical center. analysis revealed extreme ablative damage to the wires at the failure site significant enough to cause the wire rope to fail. fall from/with scaffold construction, fall, scaffold, wire rope, equipment failure, abrasive blasting, broken cable",921,"fatality, fall_from_height",2,1,fatal_outcome; fall_with_height_exposure
200621423,employee killed in fall from man lift,on march 16 2001 employee #1 and a coworker were doing abrasive blasting from separate man lifts inside a hydro-pillar water tank. suddenly the coworker heard a sound. he yelled for employee #1 and got no response. the coworker shone his light and saw employee #1 on the floor of the tank. employee #1 fell approximately 25 ft when the weld on the anchor pad-eye that the scaffolding was connected to gave jerking the man lift. employee #1 was apparently not tied off to the safety line.,fall from/with scaffold,"construction, abrasive blasting, water tank, tank, fall, anchor, scaffold, lifeline, tie-off","employee killed in fall from man lift on march 16 2001 employee #1 and a coworker were doing abrasive blasting from separate man lifts inside a hydro-pillar water tank. suddenly the coworker heard a sound. he yelled for employee #1 and got no response. the coworker shone his light and saw employee #1 on the floor of the tank. employee #1 fell approximately 25 ft when the weld on the anchor pad-eye that the scaffolding was connected to gave jerking the man lift. employee #1 was apparently not tied off to the safety line. fall from/with scaffold construction, abrasive blasting, water tank, tank, fall, anchor, scaffold, lifeline, tie-off",642,"fatality, fall_from_height, confined_space",3,1,fatal_outcome; fall_with_height_exposure
300058807,employee killed in fall from roof,on may 9 2000 employee #1 was performing abrasive blasting operations on the roof of a water tower. employee #1 had not donned his fall protection equipment and was subsequently not tied off. when he got to the edge of the tower he slipped or stumbled and fell 150 ft to the ground. employee #1 was killed.,fall from/with structure,"water tower, roof, fall, abrasive blasting, slip, fall protection","employee killed in fall from roof on may 9 2000 employee #1 was performing abrasive blasting operations on the roof of a water tower. employee #1 had not donned his fall protection equipment and was subsequently not tied off. when he got to the edge of the tower he slipped or stumbled and fell 150 ft to the ground. employee #1 was killed. fall from/with structure water tower, roof, fall, abrasive blasting, slip, fall protection",431,"fatality, fall_from_height",2,1,fatal_outcome; fall_with_height_exposure
795021,employee's thigh lacerated with abrasive from machine,at approximately 9:30 a.m. on october 2 1990 employee #1 was attempting to clear an abrasive blasting machine. he first disconnected the air supply line and then took the nozzle end and the air supply line and held them together between his legs to backflush the machine. when employee #1 lost his grip the nozzle end with the pressurized abrasive lacerated his right thigh. he was hospitalized for three days for a laceration with the abrasive in it.,[],"construction, abrasive blasting, clogged, hose, accidental discharge, thigh, laceration, lost control, high pressure, work rules","employee's thigh lacerated with abrasive from machine at approximately 9:30 a.m. on october 2 1990 employee #1 was attempting to clear an abrasive blasting machine. he first disconnected the air supply line and then took the nozzle end and the air supply line and held them together between his legs to backflush the machine. when employee #1 lost his grip the nozzle end with the pressurized abrasive lacerated his right thigh. he was hospitalized for three days for a laceration with the abrasive in it. [] construction, abrasive blasting, clogged, hose, accidental discharge, thigh, laceration, lost control, high pressure, work rules",637,energy_release,1,1,uncontrolled_energy_release
14332423,asphyxiated in rail car; air compressor failed,employee #1 was sandblasting inside a 1 620 cubic foot rail car compartment. an oil hose came loose on the davey air compressor s/n 35808. the employee was wearing an airline respirator with an abrasive blasting hood. the outside employee went to the railcar to check on employee #1 and found him unconscious. employee #1's lower dentures were found lodged in his throat at the hospital. he died 7 days later due to cerebral anoxia with brain death secondary to asphyxiation.,[],"confined space, railroad tank car, sandblasting, respirator, asphyxiated, abrasive blasting, air line respirator","asphyxiated in rail car; air compressor failed employee #1 was sandblasting inside a 1 620 cubic foot rail car compartment. an oil hose came loose on the davey air compressor s/n 35808. the employee was wearing an airline respirator with an abrasive blasting hood. the outside employee went to the railcar to check on employee #1 and found him unconscious. employee #1's lower dentures were found lodged in his throat at the hospital. he died 7 days later due to cerebral anoxia with brain death secondary to asphyxiation. [] confined space, railroad tank car, sandblasting, respirator, asphyxiated, abrasive blasting, air line respirator",638,"fatality, confined_space",2,1,fatal_outcome; confined_space_atmospheric_hazard
200810828,employee killed in fall from telecommunications tower,employees #1 and #2 were being hoisted up a 500 ft telecommunications tower to replace antenna parts damaged when the tower was struck by lightning. they were being raised by a 1/2 in. nylon rope load line using a friction winch. employee #2 was attached to the load line by a pelican clip that was attached to a seat strap d-ring by a small clevis on his tree saddle safety belt. the pelican clip had been run through a hand-tied loop in the end of the rope load line. employee #1 was attached to the same loop by the center clip of a short three-clip rope safety lanyard as were the replacement antenna parts. the remaining clips were attached to the waist d-rings on her full body harness. the rope load line had been routed up the tower through a 3 in. mckissik top block pulley that had been hand-tied to the face of the tower by two pieces of 1/2 in. climbing rope at a height of approximately 475 ft. the 1/2 in. nylon load line was then routed back down the tower and through a heel block pulley attached near the base. the free end was then wrapped around a cathead (capstan hoist) which had been bolted to the left rear wheel of a small pick-up truck with the wheel jacked up off the ground. with the pickup truck idling employee #3 manually pulled on the free end of the rope hoisting employees #1 and #2 up the tower. the two employees were at a height of approximately 385 ft when the pickup's engine apparently stalled. when a coworker tried to restart the engine friction was lost between the rope load line and the capstan hoist drum causing employees #1 and #2 to fall. they struck a guy at a height of about 210 ft and managed to ride it to the ground. employee #1 was killed. employee #2 suffered a fractured back a fractured jaw some fractured ribs and other internal injuries. employee #3 sustained severe rope burns to both hands from trying to stop the rope.,fall,"telecom work, communication tower, hoisting mechanism, mech malfunction, fall, fracture, abrasive burn, winch, construction, work rules","employee killed in fall from telecommunications tower employees #1 and #2 were being hoisted up a 500 ft telecommunications tower to replace antenna parts damaged when the tower was struck by lightning. they were being raised by a 1/2 in. nylon rope load line using a friction winch. employee #2 was attached to the load line by a pelican clip that was attached to a seat strap d-ring by a small clevis on his tree saddle safety belt. the pelican clip had been run through a hand-tied loop in the end of the rope load line. employee #1 was attached to the same loop by the center clip of a short three-clip rope safety lanyard as were the replacement antenna parts. the remaining clips were attached to the waist d-rings on her full body harness. the rope load line had been routed up the tower through a 3 in. mckissik top block pulley that had been hand-tied to the face of the tower by two pieces of 1/2 in. climbing rope at a height of approximately 475 ft. the 1/2 in. nylon load line was then routed back down the tower and through a heel block pulley attached near the base. the free end was then wrapped around a cathead (capstan hoist) which had been bolted to the left rear wheel of a small pick-up truck with the wheel jacked up off the ground. with the pickup truck idling employee #3 manually pulled on the free end of the rope hoisting employees #1 and #2 up the tower. the two employees were at a height of approximately 385 ft when the pickup's engine apparently stalled. when a coworker tried to restart the engine friction was lost between the rope load line and the capstan hoist drum causing employees #1 and #2 to fall. they struck a guy at a height of about 210 ft and managed to ride it to the ground. employee #1 was killed. employee #2 suffered a fractured back a fractured jaw some fractured ribs and other internal injuries. employee #3 sustained severe rope burns to both hands from trying to stop the rope. fall telecom work, communication tower, hoisting mechanism, mech malfunction, fall, fracture, abrasive burn, winch, construction, work rules",2076,"fatality, fall_from_height, struck_by, lifting",4,1,fatal_outcome; fall_with_height_exposure
202656856,worker is struck by abrasive disk from concrete machine,at approximately 9:15 a.m. on august 20 2012 employee #1 was working for wj lent contracting services a contractor for projects involving nonresidential buildings. it was demolishing a commercial retail building. employee #1 had worked for the company for approximately three weeks. at the time of the incident he was working near coworkers. one coworker was operating a lavina 30g pro machine. this was a propane-powered 30-inch (0.76-meter) machine for the planetary grinding polishing and burnishing of concrete. employee #1 was walking toward the coworker to warn him about smoke that was coming from the machine when its abrasive disk came off the machine flew out and struck employee #1. he sustained a laceration and a fracture of his left leg. employee #1 was transported to simi valley medical center where he was treated for four days. the division was notified of the accident by wj lent contracting services at 2:52 p.m. on august 23 2012. it initiated an inspection on september 11 2012. interviews were conducted of employee #1 his supervisor and other workers who had been onsite.,other,"construction, machine operator, concrete, equipment failure, struck by, flying object, abrasive wheel, laceration, fracture, leg","worker is struck by abrasive disk from concrete machine at approximately 9:15 a.m. on august 20 2012 employee #1 was working for wj lent contracting services a contractor for projects involving nonresidential buildings. it was demolishing a commercial retail building. employee #1 had worked for the company for approximately three weeks. at the time of the incident he was working near coworkers. one coworker was operating a lavina 30g pro machine. this was a propane-powered 30-inch (0.76-meter) machine for the planetary grinding polishing and burnishing of concrete. employee #1 was walking toward the coworker to warn him about smoke that was coming from the machine when its abrasive disk came off the machine flew out and struck employee #1. he sustained a laceration and a fracture of his left leg. employee #1 was transported to simi valley medical center where he was treated for four days. the division was notified of the accident by wj lent contracting services at 2:52 p.m. on august 23 2012. it initiated an inspection on september 11 2012. interviews were conducted of employee #1 his supervisor and other workers who had been onsite. other construction, machine operator, concrete, equipment failure, struck by, flying object, abrasive wheel, laceration, fracture, leg",1286,struck_by,1,0,no_strong_sif_evidence
202471264,worker lacerates hand on angle grinder used on concrete,at approximately 8:30 a.m. on december 16 2011 an employee was working for c. a. rasmussen inc. rasmussen was a general engineering contractor. it constructed highways bridges and other parts of the transportation infrastructure. the injured employee had been working for company about 4 years performing the duties of a laborer. at the time of accident he was performing his daily duties. the employee was working adjacent to other employees and a supervisor was onsite. he was showing a coworker how to clean out the concrete chamfer at the bottom of a concrete wall. this job was done with a portable dewalt model number d28494 angle grinder with an 8-inch (203-millimeter) abrasive wheel. at the time of accident the angle grinder was not guarded. for some reason his right wrist was severely lacerated during this demonstration. the employee was transported to northridge hospital. he was treated for the laceration of his right wrist for two days. the division was notified of the accident at 2:15 p.m. on december 16 2011. it initiated an inspection on january 11 2012. interviews were conducted of the employee's supervisor the injured employee and injured coworkers. there was no mention on the injury line of other workers injured during this incident. the investigation found no violation of any title 8 standard in connection with this accident. as a result the division did not issue serious accident-related citation. only no-accident-related citations were issued.,other,"construction, highway, concrete, concrete form work, grinder, abrasive wheel, unguarded, struck against, laceration, hand","worker lacerates hand on angle grinder used on concrete at approximately 8:30 a.m. on december 16 2011 an employee was working for c. a. rasmussen inc. rasmussen was a general engineering contractor. it constructed highways bridges and other parts of the transportation infrastructure. the injured employee had been working for company about 4 years performing the duties of a laborer. at the time of accident he was performing his daily duties. the employee was working adjacent to other employees and a supervisor was onsite. he was showing a coworker how to clean out the concrete chamfer at the bottom of a concrete wall. this job was done with a portable dewalt model number d28494 angle grinder with an 8-inch (203-millimeter) abrasive wheel. at the time of accident the angle grinder was not guarded. for some reason his right wrist was severely lacerated during this demonstration. the employee was transported to northridge hospital. he was treated for the laceration of his right wrist for two days. the division was notified of the accident at 2:15 p.m. on december 16 2011. it initiated an inspection on january 11 2012. interviews were conducted of the employee's supervisor the injured employee and injured coworkers. there was no mention on the injury line of other workers injured during this incident. the investigation found no violation of any title 8 standard in connection with this accident. as a result the division did not issue serious accident-related citation. only no-accident-related citations were issued. other construction, highway, concrete, concrete form work, grinder, abrasive wheel, unguarded, struck against, laceration, hand",1663,struck_by,1,0,no_strong_sif_evidence
201639994,abrasive wheel cut off saw breaks and cuts employee's face,on february 3 2011 an employee was using a stihl abrasive wheel cut off saw to cut metal tubing. while cutting the tubing the abrasive wheel broke into many pieces. some of the pieces struck the operator in the face and caused multiple serious cuts.,other,"saw, abrasive wheel, face, laceration, metal pipe, struck by","abrasive wheel cut off saw breaks and cuts employee's face on february 3 2011 an employee was using a stihl abrasive wheel cut off saw to cut metal tubing. while cutting the tubing the abrasive wheel broke into many pieces. some of the pieces struck the operator in the face and caused multiple serious cuts. other saw, abrasive wheel, face, laceration, metal pipe, struck by",375,struck_by,1,0,no_strong_sif_evidence
170363899,employee cuts his thumb with a grinding wheel,on march 8th 2010 employee #1 of lassen county road department was grinding a small metal part on a pedestal grinder. the tool rest was more than 1/8 in. from the grinding wheel. employee #1's finger was pulled into the wheel between the tool rest and abrasive wheel. employee #1 suffered a severe laceration to his left thumb.,other,"laceration, thumb, grinder, abrasive wheel","employee cuts his thumb with a grinding wheel on march 8th 2010 employee #1 of lassen county road department was grinding a small metal part on a pedestal grinder. the tool rest was more than 1/8 in. from the grinding wheel. employee #1's finger was pulled into the wheel between the tool rest and abrasive wheel. employee #1 suffered a severe laceration to his left thumb. other laceration, thumb, grinder, abrasive wheel",422,,0,0,no_strong_sif_evidence
